audio_path,duration_ms,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_std,dominant_pitch_class,rms_mean,rms_std,loudness,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,key,mode
Audio_Samples/Josiah MacCartney - no one cares anymore.mp3,29712,129.19921875,1691.3618944964255,770.4221297591249,3260.7409858703613,2131.3689422626676,0.062054443359375,-140.57321166992188,63.79672622680664,127.67204284667969,37.51335525512695,0.892356276512146,20.605815887451172,21.85077476501465,19.145721435546875,6.71670389175415,14.733880996704102,-11.99128246307373,16.169801712036133,3.8713347911834717,15.610957145690918,-20.120372772216797,14.81875991821289,3.6731109619140625,12.863839149475098,-2.7096800804138184,12.5159330368042,-8.835062980651855,11.440478324890137,-7.026515007019043,11.038448333740234,4.653138160705566,9.653488159179688,0.2142162024974823,0.29278305172920227,8,0.20993991196155548,0.08039403706789017,-13.558099746704102,0.7559733834262229,0.26775994896888733,0.5339904444213325,0.8075060051344922,0.672309398651123,0.37713848558487373,0.4121323823928833,4,1
Audio_Samples/Jelly Roll - Wheels Fall Off.mp3,29712,103.359375,2388.033036010991,918.0996672635524,5567.561073303223,2795.2733737407953,0.07377891540527344,-16.830900192260742,40.27899932861328,93.91287994384766,31.160371780395508,18.569530487060547,26.454288482666016,11.612935066223145,17.390419006347656,15.16667652130127,13.397598266601562,11.21905517578125,10.37965202331543,3.115792989730835,12.293639183044434,8.552797317504883,11.534204483032227,5.425240993499756,9.628037452697754,10.907597541809082,8.748233795166016,0.7696892023086548,9.057432174682617,5.988649845123291,7.556196689605713,2.6851658821105957,7.9923553466796875,0.4591469168663025,0.28459155559539795,9,0.39029014110565186,0.11750665307044983,-8.172248840332031,0.7345239169222765,0.39625951647758484,0.4462999367897175,0.6404212063830041,0.7531285285949707,0.4300099728628993,0.43077552318573,2,1
Audio_Samples/Tucker Wetmore - Wind Up Missin’ You.mp3,29712,86.1328125,2310.089311041506,614.5035075656042,5040.9228515625,2577.3339238490253,0.09738807678222657,-1.5458217859268188,34.587337493896484,97.38789367675781,22.763872146606445,3.843451738357544,15.838794708251953,22.309080123901367,13.696452140808105,1.8654682636260986,10.200394630432129,9.953458786010742,9.43157958984375,3.2916908264160156,8.737075805664062,-1.7746918201446533,8.586647987365723,4.192124366760254,8.7324857711792,1.024821162223816,7.290588855743408,-0.09024238586425781,7.84901762008667,3.2862915992736816,6.809717655181885,-1.3456045389175415,7.213075160980225,0.3698054552078247,0.2868430018424988,10,0.2855125963687897,0.05909300222992897,-10.887494087219238,0.593163490156798,0.3063211739063263,0.3562170573259176,0.5909195455675473,0.7582193613052368,0.4752440243959427,0.41635555028915405,6,1
Audio_Samples/Pity Party (Girls Club) - Stuck on u.mp3,29712,92.28515625,1440.3620650947776,515.244529248929,2893.9279174804688,1488.9161139412124,0.0661163330078125,-159.40843200683594,41.390235900878906,140.4305419921875,24.835193634033203,-46.61567687988281,17.31492042541504,39.97270965576172,17.026159286499023,-20.885282516479492,13.865335464477539,-0.6926149129867554,13.192407608032227,2.0610907077789307,12.057615280151367,-7.619194984436035,8.911721229553223,-7.7189178466796875,7.607272148132324,-6.3004536628723145,8.056619644165039,-14.856112480163574,7.072329998016357,-11.625482559204102,7.920918941497803,-9.110488891601562,7.416494369506836,0.25592121481895447,0.30564597249031067,11,0.1692916452884674,0.08204254508018494,-15.427289009094238,0.6312781015777964,0.23686325550079346,0.3082045821522881,0.8491510972696078,0.696101725101471,0.36687209000228904,0.42439985275268555,11,1
Audio_Samples/Cults - Gilded Lily.mp3,29712,123.046875,2172.1195516679923,335.54940985749164,4769.6044921875,2407.050702841826,0.09353218078613282,-0.6489875912666321,29.410226821899414,100.58412170410156,13.273576736450195,-6.3880815505981445,9.49917221069336,18.63087272644043,10.320655822753906,-5.881311416625977,7.79807186126709,15.269014358520508,6.65648889541626,0.6384487748146057,6.1496710777282715,1.1432979106903076,7.232828140258789,2.5106470584869385,6.0366411209106445,7.84182071685791,5.225200653076172,-3.6555371284484863,5.665338039398193,2.9370765686035156,5.959735870361328,-5.917763710021973,7.42210054397583,0.3544197380542755,0.28425586223602295,6,0.26734718680381775,0.06530650705099106,-11.458487510681152,0.7858634996881217,0.2868657112121582,0.4994385459814734,0.6749120841688736,0.7953535318374634,0.4387408268637955,0.42028406262397766,7,1
Audio_Samples/Chris Tomlin - How Great Is Our God.mp3,29712,151.99908088235293,2893.4549852175705,329.4186363560008,5798.605613708496,2585.873931903196,0.160247802734375,25.492136001586914,15.727293014526367,63.4709358215332,11.86514663696289,-14.258012771606445,11.439533233642578,35.582054138183594,10.283097267150879,5.312394618988037,9.424138069152832,6.435372829437256,7.337853908538818,0.860275387763977,8.64834213256836,11.54125690460205,5.01093864440918,0.6258167028427124,6.028100490570068,5.677628517150879,7.697006702423096,0.7544019818305969,5.936797618865967,9.109840393066406,6.469452381134033,-0.1429256945848465,6.075064659118652,0.37878960371017456,0.27401411533355713,7,0.25823888182640076,0.029325872659683228,-11.759567260742188,0.6179182466120593,0.27589428424835205,0.5510682730976124,0.6138795700312115,0.8479055166244507,0.57987323962152,0.41685789823532104,0,1
"Audio_Samples/Coogie - 1,2,3,4,5.mp3",16401,117.45383522727273,2485.054848073322,974.4091370316411,5608.150671024134,2816.191071138288,0.0812556632337341,-64.48663330078125,56.46476364135742,90.52934265136719,37.00312805175781,30.28152084350586,29.66689682006836,17.015928268432617,21.67755699157715,10.138890266418457,16.117046356201172,4.37471342086792,13.0737886428833,-11.40086841583252,11.890739440917969,5.801663398742676,11.048168182373047,2.900373935699463,12.170056343078613,-0.6419390439987183,11.78183364868164,0.33495602011680603,11.580513000488281,-2.12726092338562,10.45710563659668,-2.792050838470459,10.441359519958496,0.36764025688171387,0.2991698980331421,6,0.2699488401412964,0.11478643119335175,-11.374370574951172,0.7915976328447749,0.3160052001476288,0.44641644269708625,0.6995193270541894,0.7276081442832947,0.4967386798493174,0.4471975266933441,6,0
Audio_Samples/Ren - Chalk Outlines.mp3,15739,123.046875,2153.371812241134,592.2899476320343,4486.925621370298,2300.801858270979,0.10309504056047197,-77.60906219482422,46.54427719116211,97.75707244873047,22.729045867919922,-9.914322853088379,19.36814308166504,18.30255889892578,15.151604652404785,-5.283000946044922,15.950984001159668,18.192928314208984,9.841944694519043,11.034106254577637,12.327595710754395,7.328249454498291,8.546164512634277,0.81572026014328,8.144107818603516,9.7189302444458,9.51529312133789,1.1300456523895264,8.13331413269043,0.8295028805732727,8.086793899536133,-10.051365852355957,8.966261863708496,0.3565642535686493,0.29244303703308105,8,0.1610163301229477,0.04804683476686478,-15.862602233886719,0.7915207585223669,0.203960120677948,0.45668817118280236,0.5831165614619167,0.760376513004303,0.5122248320283977,0.41456377506256104,4,1
Audio_Samples/Jacob Collier - I'll Be Home For Christmas.mp3,24505,172.265625,899.8568849134883,193.33922053234588,1327.1671641956675,1292.8905206654335,0.0499267578125,-222.47897338867188,63.7136116027832,185.74949645996094,25.929054260253906,6.455446720123291,27.28006935119629,4.611313343048096,10.90817928314209,3.915393352508545,11.160356521606445,-5.0884108543396,11.210478782653809,-7.391507148742676,8.870482444763184,3.3348989486694336,10.302058219909668,-13.20561408996582,8.134862899780273,-7.0238518714904785,7.6552815437316895,-6.232478141784668,8.86074447631836,-1.9225726127624512,7.599617004394531,-1.303395390510559,8.019600868225098,0.2523221969604492,0.299511194229126,0,0.12298452854156494,0.049555908888578415,-18.20298957824707,0.5076219633418341,0.20667764544487,0.44583931871679877,0.8498984149007957,0.6637014150619507,0.3937049759144429,0.42323946952819824,7,1
Audio_Samples/Nelly Furtado - Maneater.mp3,29712,66.25600961538461,2218.865686016669,796.7405974572683,4811.543769836426,2486.3967127604037,0.07784881591796874,-20.68495750427246,50.585628509521484,94.5160140991211,29.81470489501953,-0.9780328869819641,17.724946975708008,25.00510597229004,11.448991775512695,2.3661160469055176,10.002676963806152,10.217704772949219,9.28021240234375,10.784324645996094,9.191905975341797,3.9170429706573486,7.5326762199401855,8.582763671875,9.273733139038086,13.736068725585938,8.324020385742188,0.32859328389167786,8.314884185791016,9.519844055175781,6.985841274261475,1.5665950775146484,6.114719390869141,0.4892162084579468,0.2664376497268677,8,0.3174096941947937,0.0779934674501419,-9.967596054077148,0.5208046006950785,0.3350832462310791,0.36182935119653803,0.6696079359666185,0.765450656414032,0.4669147474691272,0.422264039516449,10,0
